"County","City","State","Postal Code","Model Year","Make","Model","Electric Vehicle Type","Clean Alternative Fuel Vehicle (CAFV) Eligibility","Electric Range","Base MSRP","Legislative District","DOL Vehicle ID","Vehicle Location","Electric Utility","2020 Census Tract"
"Yakima","Union Gap","WA","98903","2023","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","15","257734368","POINT (-120.47777 46.55666)","PACIFICORP","53077001300"
"King","Enumclaw","WA","98022","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","5","274196044","POINT (-121.99136 47.20433)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033031502"
"King","Shoreline","WA","98133","2025","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","32","276378490","POINT (-122.35029 47.71871)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033020900"
"King","Bellevue","WA","98004","2022","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","41","220471856","POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033023801"
"King","Vashon","WA","98070","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","34","208055676","POINT (-122.4573 47.44929)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033027701"
"Benton","Kennewick","WA","99336","2022","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","8","283095900","POINT (-119.11698 46.20837)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY","53005010815"
"Thurston","Lacey","WA","98516","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","22","262180733","POINT (-122.78158 47.05335)","PUGET SOUND ENERGY INC","53067012226"
"Snohomish","Edmonds","WA","98026","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","32","220537131","POINT (-122.31768 47.87166)","PUGET SOUND ENERGY INC","53061050402"
"King","Kenmore","WA","98028","2024","TESLA","CYBERTRUCK","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","46","273664954","POINT (-122.24369 47.75892)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033021600"
"King","Bellevue","WA","98006","2025","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","41","286007662","POINT (-122.12096 47.55584)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033025001"
"King","Mercer Island","WA","98040","2022","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","41","240711355","POINT (-122.21238 47.57816)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033024301"
"Yakima","Sunnyside","WA","98944","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","15","272374441","POINT (-120.00976 46.32379)","BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN","53077002003"
"Snohomish","Marysville","WA","98271","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","38","266750081","POINT (-122.1677 48.11026)","PUGET SOUND ENERGY INC","53061052803"
"Thurston","Lacey","WA","98503","2025","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","22","276944307","POINT (-122.82324 47.04437)","PUGET SOUND ENERGY INC","53067011625"
"King","Seattle","WA","98107","2025","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","36","281010033","POINT (-122.38591 47.67597)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033004702"
"Clark","Vancouver","WA","98662","2025","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","17","281975256","POINT (-122.57722 45.64251)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","53011041104"
"Snohomish","Mill Creek","WA","98012","2023","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","44","255398405","POINT (-122.21061 47.83448)","PUGET SOUND ENERGY INC","53061041704"
"Snohomish","Lake Stevens","WA","98258","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","44","273549090","POINT (-122.06402 48.01497)","PUGET SOUND ENERGY INC","53061052603"
"King","Renton","WA","98058","2025","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","11","278042600","POINT (-122.08747 47.4466)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033025702"
"King","Bellevue","WA","98004","2024","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","48","273352236","POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033023806"
"King","Issaquah","WA","98027","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","5","253924289","POINT (-122.03439 47.5301)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032102"
"Cowlitz","Kalama","WA","98625","2025","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","20","277411389","POINT (-122.84226 46.00813)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY","53015001601"
"King","Redmond","WA","98052","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","48","185808983","POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032330"
"Cowlitz","Castle Rock","WA","98611","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","20","216657605","POINT (-122.90724 46.27509)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY","53015002003"
"Snohomish","Bothell","WA","98012","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","1","236442279","POINT (-122.21061 47.83448)","PUGET SOUND ENERGY INC","53061052009"
"King","Seattle","WA","98116","2024","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","34","274219403","POINT (-122.41067 47.57894)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033009701"
"Skagit","Mount Vernon","WA","98273","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","10","233697579","POINT (-122.33891 48.41644)","PUGET SOUND ENERGY INC","53057951200"
"King","Woodinville","WA","98072","2026","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","45","280647342","POINT (-122.15545 47.75448)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033021906"
"Kitsap","Bremerton","WA","98311","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","23","262354879","POINT (-122.60915 47.62631)","PUGET SOUND ENERGY INC","53035091900"
"King","Sammamish","WA","98029","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","5","225877151","POINT (-122.00292 47.54748)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032211"
"Kitsap","Poulsbo","WA","98370","2023","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","23","244454164","POINT (-122.64681 47.73689)","PUGET SOUND ENERGY INC","53035940000"
"Island","Langley","WA","98260","2023","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","10","226125147","POINT (-122.40618 48.0399)","PUGET SOUND ENERGY INC","53029972000"
"King","Bellevue","WA","98008","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","48","240254052","POINT (-122.11867 47.63131)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033023100"
